Datetime,TairF,TairC
5/13/2022 7:00,63,17.22222222
5/13/2022 7:05,65,18.33333333
5/13/2022 7:10,65,18.33333333
5/13/2022 7:15,66,18.88888889
5/13/2022 7:20,66,18.88888889
5/13/2022 7:25,66,18.88888889
5/13/2022 7:30,67,19.44444444
5/13/2022 7:35,68,20
5/13/2022 7:40,68,20
5/13/2022 7:45,68,20
5/13/2022 7:50,68,20
5/13/2022 7:55,69,20.55555556
5/13/2022 8:00,69,20.55555556
5/13/2022 8:05,70,21.11111111
5/13/2022 8:10,70,21.11111111
5/13/2022 8:15,70,21.11111111
5/13/2022 8:20,71,21.66666667
5/13/2022 8:25,71,21.66666667
5/13/2022 8:30,72,22.22222222
5/13/2022 8:35,71,21.66666667
5/13/2022 8:40,73,22.77777778
5/13/2022 8:45,72,22.22222222
5/13/2022 8:50,74,23.33333333
5/13/2022 8:55,74,23.33333333
5/13/2022 9:00,74,23.33333333
5/13/2022 9:05,74,23.33333333
5/13/2022 9:10,76,24.44444444
5/13/2022 9:15,76,24.44444444
5/13/2022 9:20,76,24.44444444
5/13/2022 9:25,77,25
5/13/2022 9:30,76,24.44444444
5/13/2022 9:35,76,24.44444444
5/13/2022 9:40,77,25
5/13/2022 9:45,78,25.55555556
5/13/2022 9:50,78,25.55555556
5/13/2022 9:55,78,25.55555556
5/13/2022 10:00,79,26.11111111
5/13/2022 10:05,79,26.11111111
5/13/2022 10:10,80,26.66666667
5/13/2022 10:15,81,27.22222222
5/13/2022 10:20,81,27.22222222
5/13/2022 10:25,82,27.77777778
5/13/2022 10:30,81,27.22222222
5/13/2022 10:35,81,27.22222222
5/13/2022 10:40,80,26.66666667
5/13/2022 10:45,82,27.77777778
5/13/2022 10:50,83,28.33333333
5/13/2022 10:55,83,28.33333333
5/13/2022 11:00,82,27.77777778
5/13/2022 11:05,83,28.33333333
5/13/2022 11:10,84,28.88888889
5/13/2022 11:15,84,28.88888889
5/13/2022 11:20,84,28.88888889
5/13/2022 11:25,84,28.88888889
5/13/2022 11:30,84,28.88888889
5/13/2022 11:35,85,29.44444444
5/13/2022 11:40,86,30
5/13/2022 11:45,87,30.55555556
5/13/2022 11:50,85,29.44444444
5/13/2022 11:55,86,30
5/13/2022 12:00,86,30
5/13/2022 12:05,87,30.55555556
5/13/2022 12:10,87,30.55555556
5/13/2022 12:15,86,30
5/13/2022 12:20,88,31.11111111
5/13/2022 12:25,88,31.11111111
5/13/2022 12:30,87,30.55555556
5/13/2022 12:35,89,31.66666667
5/13/2022 12:40,88,31.11111111
5/13/2022 12:45,88,31.11111111
5/13/2022 12:50,88,31.11111111
5/13/2022 12:55,88,31.11111111
5/13/2022 13:00,89,31.66666667
5/13/2022 13:05,89,31.66666667
5/13/2022 13:10,89,31.66666667
5/13/2022 13:15,90,32.22222222
5/13/2022 13:20,89,31.66666667
5/13/2022 13:25,89,31.66666667
5/13/2022 13:30,90,32.22222222
5/13/2022 13:35,90,32.22222222
5/13/2022 13:40,90,32.22222222
5/13/2022 13:45,89,31.66666667
5/13/2022 13:50,91,32.77777778
5/13/2022 13:55,89,31.66666667
5/13/2022 14:00,91,32.77777778
5/13/2022 14:05,91,32.77777778
5/13/2022 14:10,90,32.22222222
5/13/2022 14:15,91,32.77777778
5/13/2022 14:20,91,32.77777778
5/13/2022 14:25,90,32.22222222
5/13/2022 14:30,91,32.77777778
5/13/2022 14:35,90,32.22222222
5/13/2022 14:40,91,32.77777778
5/13/2022 14:45,90,32.22222222
5/13/2022 14:50,90,32.22222222
5/13/2022 14:55,92,33.33333333
5/13/2022 15:00,90,32.22222222
5/13/2022 15:05,90,32.22222222
5/13/2022 15:10,90,32.22222222
